,Param Pair,Avg Accuracy
446,"(82, 25, 0.7666666666666666)",0.5635684147936961
141,"(22, 25, 0.2111111111111111)",0.5632714232802049
442,"(82, 25, 0.3222222222222222)",0.56289428191844
336,"(62, 20, 0.7666666666666666)",0.5628152785759539
394,"(72, 25, 0.5444444444444444)",0.562064656797449
94,"(12, 25, 0.5444444444444444)",0.5619318320150579
191,"(32, 25, 0.2111111111111111)",0.5618690596752592
140,"(22, 25, 0.1)",0.5618224894958135
194,"(32, 25, 0.5444444444444444)",0.5617105733019134
391,"(72, 25, 0.2111111111111111)",0.561530905979842
384,"(72, 20, 0.5444444444444444)",0.5608963390003691
245,"(42, 25, 0.6555555555555556)",0.5607901492133791
99,"(12, 25, 1.1)",0.5605605405491009
449,"(82, 25, 1.1)",0.5603525781784219
92,"(12, 25, 0.3222222222222222)",0.5601698020529318
192,"(32, 25, 0.3222222222222222)",0.5596391659310576
144,"(22, 25, 0.5444444444444444)",0.559633876805625
240,"(42, 25, 0.1)",0.559408050526337
195,"(32, 25, 0.6555555555555556)",0.5589905803938608
246,"(42, 25, 0.7666666666666666)",0.5588429574541178
335,"(62, 20, 0.6555555555555556)",0.5587950997137513
145,"(22, 25, 0.6555555555555556)",0.5585381205282097
293,"(52, 25, 0.43333333333333335)",0.5579487950276176
142,"(22, 25, 0.3222222222222222)",0.5576163989229379
291,"(52, 25, 0.2111111111111111)",0.5574786292728736
97,"(12, 25, 0.8777777777777777)",0.5562561029053541
146,"(22, 25, 0.7666666666666666)",0.5556872191132822
497,"(92, 25, 0.8777777777777777)",0.555169939945608
344,"(62, 25, 0.5444444444444444)",0.553941001710469
98,"(12, 25, 0.9888888888888888)",0.5534380942754842
493,"(92, 25, 0.43333333333333335)",0.5533306252310639
290,"(52, 25, 0.1)",0.5525920488550652
241,"(42, 25, 0.2111111111111111)",0.5519564006442632
294,"(52, 25, 0.5444444444444444)",0.5503478097798516
